,A02l_A1R,MN_A1R,A02l_A2R,MN_A2R,A02l_A3R,MN_A3R,A02l_A4R,MN_A4R,A02l_A5R,MN_A5R,A02l_A6R,MN_A6R,A02l_A7R,MN_A7R,A02l_A1L,MN_A1L,A02l_A2L,MN_A2L,A02l_A3L,MN_A3L,A02l_A4L,MN_A4L,A02l_A5L,MN_A5L,A02l_A6L,MN_A6L,A02l_A7L,MN_A7L,time_MN,time_A02l
625,-0.03568034146126058,-0.28571928707326966,0.11654044566086103,-0.13203430108681083,-0.04817219510845408,-0.06331790045455213,0.09902710767140584,-0.0027162714879201276,0.18602898011876223,-0.07318002427744878,0.002132180375001702,-0.05970705678186854,-0.20962357485920624,-0.0022544989875134163,0.04494964373435226,-0.2500198334051677,-0.009489118367768,-0.1713643715431294,0.1413921066990148,-0.052879097764945156,0.05567707760284225,0.03726439551951951,0.19975320143028297,-0.02549328916564767,-0.006976669108270168,-0.011993537739171447,-0.12207642837809572,-0.07178053018667893,81.5503125,81.61555275
626,0.07472881236768805,-0.23770026312454454,-0.013766413742765521,-0.15571186706783377,-0.0988648053232494,-0.046149719537515774,0.12419906369560377,-0.043989210519467574,0.15574978290745572,-0.051596699662639335,0.010734371661431761,-0.037687260897805254,-0.2336173224913273,0.0015335683532578996,0.05909799827656363,-0.19926793005160223,-0.02996871992599386,-0.1463741679101327,0.11247472121781742,-0.04162277780869589,0.09608765282116273,-0.026030913496947205,0.14799084363058818,-0.0072959409203555104,0.09863350097542338,0.004335730800663596,-0.159027597292246,-0.010735934797315308,81.680793,81.74603325
627,0.06002821164826806,-0.2371125066829791,0.009376940394534067,-0.16774798450179906,-0.04860845785781046,-0.05425030138388646,-0.007211927711704467,-0.026931806024567545,0.21107794237163596,-0.08976333461124676,0.05436955979572356,-0.02896965064053258,-0.34994440438402885,0.01614664904665182,0.005350321312518184,-0.16691191882796666,0.05255159135021809,-0.14514307175537283,0.10486937309678503,-0.09242299906635457,0.07354040544125588,0.002909014156011878,0.038618490936891035,-0.016200952561622,-0.04852444023189231,-0.025284811868939095,-0.20863586265970513,0.01327049070266916,81.8112735,81.87651375
628,0.08370813485439756,-0.2439666471498337,0.03646594706729033,-0.1761159477529725,-0.06388604946795894,-0.07104843110621237,0.1114993025292624,0.002487459797736638,0.14619790482927122,-0.08013442826068203,0.037459189797585085,-0.07451287866230975,-0.29181651069070236,0.02143922499398768,0.1684318957730505,-0.1360345814225829,0.010256633369716049,-0.13480792345748827,0.13258841285977105,-0.07848162351542125,0.06558225414497408,0.027345595373292033,0.08587716028476867,-0.008055929021760687,-0.024446062663420382,0.016869678632340374,-0.1961671765389012,0.00739559433756345,81.941754,82.00699425
629,0.10575743381322891,-0.26699402710330694,0.07126545435809163,-0.15318110726555875,0.0027535058843849063,-0.06258069153946219,0.1397609867608963,-0.03855119194673116,0.13521324839628718,-0.02502530720951761,-0.0362140885709804,-0.061466965922838956,-0.3801285202358113,0.011522926107372567,0.14456589143137152,-0.10412274660496916,0.07699787042123177,-0.14460047980867818,0.121475908729031,-0.023697890952744455,0.016069420473347303,-0.02915186065773211,0.12102978783704821,-0.03273759210436103,-0.02303426876922478,-0.011873657582255427,-0.1791397206036867,0.017370513321825657,82.0722345,82.13747475
630,0.23803784188307855,-0.26707568784758734,0.057280869476698436,-0.17652139621992838,-0.019826660158172135,-0.06236702032281238,0.07835399864364385,-0.020317649739331888,0.14991714644484966,-0.05764040774038849,-0.04049997538574223,-0.056323163130148964,-0.3728696956408748,0.0038077365568530814,0.16798200864015753,-0.15441929554749742,0.07327526687992468,-0.1192365274766904,0.0690118024819983,-0.05834234319016309,0.1399748699756295,-0.03518571572482286,0.007112264174800544,-0.030678525562161513,-0.06140229133438829,-0.016019990806166225,-0.3206230551706239,-0.0120571847426625,82.202715,82.26795525
631,0.08503916515359684,-0.28718979377909776,0.08204550405678067,-0.1621787189091157,-0.06776244898394829,-0.05656604878785704,0.12143019865218446,-0.04210571057304649,0.1631395974670294,-0.034665980351659804,-0.0299887497001069,-0.05697942327082478,-0.40829597874591,0.0684663314895306,0.24000706466808602,-0.15247655082646255,0.07601562644865384,-0.15244367080074164,0.07315631294337482,-0.059272303969409836,0.051310687370789726,-0.03146079832775844,0.04717185346928896,-0.039659359424877624,-0.0583457066925081,0.007650679272166867,-0.3416139887843454,0.003250823810684319,82.3331955,82.39843575
632,0.04879855356359639,-0.3025308357484145,0.019085920117418713,-0.1922787618042156,-0.06328255931834378,-0.07603329964404706,0.12216148023427686,-0.03797238875412254,0.05900418673379016,-0.04096874340792413,-0.06276174875094066,-0.03536399122665807,-0.4565204737429553,0.04181717517488766,0.08627292182430626,-0.18741604454897795,0.024082728671251823,-0.16349568260119363,0.11898949550965937,-0.0592945964298527,0.01489941990238917,-0.05048940848237824,0.012612314399355649,-0.04326973100832396,-0.042521286789832864,0.028483322947008144,-0.41015808116041164,0.013632639141355951,82.46367599999999,82.52891625
633,0.10508777266447697,-0.26922834806870466,0.0006266005830000936,-0.19079760406762475,0.03059278458006704,-0.031356600601294075,0.11922960346260222,-0.03937192859633234,0.03517453874328226,-0.021489311486368665,-0.13368555795188203,0.02150431914226578,-0.43413880710627945,0.11709742625952226,0.12585410456853857,-0.1784526294426527,0.0536405145609477,-0.16679478166190584,0.03419583577741195,-0.059259069850643116,0.08975876309918913,-0.01559138404650848,0.19503706387266506,-0.00829720221702256,-0.03203781026849448,0.009114566845850191,-0.33237690996345104,0.05421881794327909,82.5941565,82.65939675
634,-0.0030490998638135667,-0.2943542244565633,0.11585515108560272,-0.16479507272060023,-0.028261147013414267,-0.05680563491785931,0.0538388898453418,-0.0727195088944695,0.0693250766741627,-0.034946533411662616,-0.009270117464689658,0.027658639065723575,-0.4441434425507254,0.08713084077752899,0.08053597881858292,-0.20019907199720594,-0.02223773649729606,-0.1789677049375463,0.008574876909314489,-0.05549608787834266,0.07094306598299516,0.0049992077973286244,0.1347182565102024,0.015321787001686514,-0.06745135412595962,0.029061668990521473,-0.37525518135195735,0.04663847162437123,82.724637,82.78987725
635,0.08516190093045566,-0.2913970692293173,0.04035864424283017,-0.16981209049649582,0.024801669734754526,-0.061875216347492955,0.11890637364975529,0.01573679196060152,0.11636176287745986,-0.009086807472455776,-0.1023942508335005,0.010122437927898294,-0.4393655852727478,0.08617269553740695,0.11742207272362805,-0.19292702931145614,0.05747291150712515,-0.13879228863095894,0.027563347049488963,-0.06292010229489327,0.0199992734438857,-0.03440830599800587,-0.005384572941703516,-0.03414684203294772,0.008237194832245633,0.06976885065396389,-0.3805340064590316,0.09480292951167284,82.8551175,82.92035775000001
636,-0.08972278676539959,-0.3149164109173568,0.034983298649419535,-0.1466994607673259,0.02639312734860191,-0.038424601481345334,0.12871622185460002,-0.0234603685898739,0.14667968772053713,-0.048143567632911215,-0.05988250234456321,-0.02310024602924017,-0.46317251521432096,0.08202070456098122,0.03356560395158075,-0.2420872976443934,0.08335199811765974,-0.13764962441040016,0.06873141118693624,-0.09178736564529336,0.12460755925750515,-0.020506171174685072,0.05689395525150438,-0.05550108706751295,0.007583634427371167,0.049264105226511916,-0.3966976231493424,0.06480686949874383,82.985598,83.05083825
637,-0.004106666541718245,-0.2670032233317043,-0.00784246571009574,-0.18135059882775886,-0.020449234165417194,-0.046589749701878715,0.1285246455333731,-0.017057326987982013,0.13222285892496144,-0.04583019169076888,-0.1339162049791749,-0.003869165478726326,-0.46590834113634544,0.09896555967578932,0.024793112809481755,-0.21224954059096796,0.03430888494615545,-0.1244221187220005,-0.001467386667291371,-0.07957655629841898,0.0955692111207784,-0.022586470181333317,0.0708561258074559,-0.032962144771422265,-0.03208033717235844,0.03799996711795054,-0.38436520520713824,0.05906343874357743,83.1160785,83.18131875
638,-0.09519908998834417,-0.2725579600592801,0.043511292540390795,-0.19651115381736323,-0.03125334208681333,-0.06284785414933747,0.09373941609977526,-0.028130477495933667,0.14676632766345712,-0.05718372965900406,-0.12347534542020812,0.014296480608737394,-0.48461468557797194,0.1141909523328152,0.0926009180426245,-0.19891218749591202,0.09383718640387127,-0.15235906452189757,0.038552930338163496,-0.03829108126866822,0.05654362644445389,-0.023672575108408842,0.025897224764570553,-0.0385546180238419,-0.0448633079113606,0.009487546725567945,-0.4788079254654537,0.07504216572688965,83.246559,83.31179925
639,-0.03924848699661095,-0.293921390589794,0.05186433648388645,-0.19285269775231303,0.010590301643222387,-0.05609879350606515,0.05794145389603939,-0.04899950295915495,0.11629633033953728,-0.018147823301292224,-0.08225304024274654,0.025598268550107953,-0.48243098520581246,0.09777665065642417,0.05303551046053242,-0.2205002760432152,0.05352534050549949,-0.18342466797592297,0.08564377501812014,-0.04384650903801425,0.17557212983238954,-0.040567429944058146,0.10337601231690596,-0.038540057606409515,-0.09198820665955962,0.04593056361181154,-0.4460517471118191,0.13557312126210863,83.3770395,83.44227975
640,-0.03208291827271189,-0.2983185736904655,0.03732771009339402,-0.2118949309705556,0.09111191983901781,-0.033090740560963866,0.11639986330371521,-0.06426218488180091,0.15223788263525154,-0.058806342956165325,-0.10401385091682906,0.023862271384780198,-0.4606954189116399,0.1507010254110968,0.10461685137175733,-0.24064550199702683,0.07131372154749847,-0.1580958801731756,0.01805919810529881,-0.0790842901417015,0.06590697326995158,-0.035443487717366474,-0.022347370384770096,-0.007609492994727073,-0.09689740812698223,0.0701697214015243,-0.4296057193194889,0.11196636486150455,83.50752,83.57276025
641,0.060326351444274125,-0.29627200664400793,0.02319356505674304,-0.16039276795596735,0.08452440229979524,-0.049561193908816685,0.1497891378120072,-0.06921305019193605,0.10800479909359093,-0.05321139232294378,-0.19063425070610165,0.09064330873435215,-0.4569709902754309,0.060890109457179126,0.143085947099945,-0.2033788453287555,0.03829693989203197,-0.17209122323130038,0.13736339383833698,-0.051771695320346575,0.11664865434248711,-0.015535025900126011,0.05477250339291518,-0.045120190231569476,-0.1530341531468797,0.0812678415382542,-0.4044887669058157,0.11803326252439414,83.6380005,83.70324075
642,0.06441635390431383,-0.29481536073703946,0.009941537525278618,-0.20622965314505703,0.04565981220069748,-0.07033513839343973,0.1306829257847211,-0.03832598803737805,0.18133783975168047,-0.0288851549180145,-0.145462312720236,0.05708237293838257,-0.47415073034925,0.14119538378956364,0.14276196041877193,-0.24980517051338458,0.017353578587948837,-0.1550985145773472,0.12858767747217154,-0.03165036299462166,-0.010374979487782413,-0.011043355776046013,-0.052198075431345255,0.00719542105994509,-0.1329578408025583,0.04538603884848017,-0.4457203110449861,0.09459687816850387,83.768481,83.83372125
643,0.05501702264848797,-0.29837006461966514,0.06032351089639706,-0.14307212742935393,-0.030514833975973935,-0.04422256490370432,0.20391164491535568,-0.04584053840366329,0.1871380313059894,-0.02478764930766167,-0.09490599248621692,0.06490831430673609,-0.4343838846837381,0.13738152886545585,0.09478005189900252,-0.24343221512752983,-0.016769113311929564,-0.17137125943898626,0.10263870878647378,-0.05291902864308996,0.10847314882360524,-0.03301487636830815,0.06744643490669903,0.0012487002823079085,-0.19043604843533588,0.10048630974966859,-0.41943039842593105,0.14019373920271908,83.8989615,83.96420175
644,0.14122107589997274,-0.32425712204890306,0.05696161361141935,-0.19513595048256457,0.06697185545288682,-0.04548950242201897,0.07612328285427691,-0.041994307796363685,0.26031382198988356,0.01276810995303545,-0.11484522504900702,0.07364517445393169,-0.4879704242145929,0.16277760090672,0.14543034797448517,-0.2560075694042378,0.003043571032797116,-0.18668077451188106,0.11917262577505916,-0.06950116252905156,0.10748410086357255,-0.03865723376119271,0.13678392225949676,-0.0052905804399222605,-0.23513937097961843,0.09589673273302096,-0.4229296871717925,0.1341566230587268,84.029442,84.09468225
645,-0.005475912455951842,-0.3141936355283127,0.0168624664253569,-0.1738830793875444,-0.015626988442014038,-0.08379227062071534,0.10116442934548343,-0.027706702628281253,0.045523576991451646,-0.017449913922617934,-0.18170523913301262,0.08402352354305775,-0.49158598546257476,0.15226948814533484,0.05130901674950094,-0.2641558667814014,-0.004099416760440064,-0.17377859534830156,0.10612261674978393,-0.06072727893251789,0.030658857505243314,-0.058964456060361325,-0.07596674474410813,0.03719034289201995,-0.08589097435442174,0.10225130660347713,-0.4453452011507823,0.17170463963727442,84.1599225,84.22516275
646,0.10254722807147493,-0.30874916783075906,0.022306610877945977,-0.19403930806835276,0.07141973405272412,-0.057066539155128014,0.06797753933325536,-0.040851857397652507,0.10169426704657095,-0.015947944633418507,-0.11592617657776234,0.13491301415873874,-0.40774880937603225,0.21936872830938844,0.027836256108117616,-0.24059229846444743,-0.009064366804052013,-0.16554241450583446,0.07730823233549836,-0.032524125863509834,0.14863568631788018,-0.07387192413017797,0.1744087285340603,0.019858454333480425,-0.2076949812462453,0.0962963949789638,-0.3763293300982666,0.23106790870348853,84.290403,84.35564325
647,0.0020462875525013805,-0.2908464025537949,0.04610645341515237,-0.20406653700465413,-0.037909765214790024,-0.03364357586251473,0.05000807021906127,-0.03187697754844417,0.12394891021130426,-0.020075926966218946,-0.20247955257641365,0.16014364101366532,-0.46893637492847523,0.2166315838458892,0.07872576928365331,-0.2524070369117017,0.11275527461889163,-0.15605584841006015,0.06654118560810801,-0.06558363655016228,0.081175033940499,-0.04684428590991398,-0.002041353109686714,0.04386340984711421,-0.20264791923714545,0.11681058781566157,-0.39144857929143667,0.18956976204968595,84.4208835,84.48612375
648,0.049218371262853076,-0.26455803054222377,0.1008852738627702,-0.21566564316019557,0.00990732297679239,-0.03329991838202245,0.10144804406612234,-0.06030398335087581,0.0834787970368462,-0.02269980542342809,-0.16879275338346442,0.1110373183274961,-0.46923722767527054,0.1986452497052163,0.026222395450606634,-0.20042187390424018,0.005949458030282076,-0.17363928614298693,0.06507852461438292,-0.0560687513451624,0.12298640157549906,-0.0008912239068160354,0.046367032012116366,0.05367475860647167,-0.25713449800900884,0.1301501930746668,-0.42217745719722005,0.12561956382365427,84.551364,84.61660425000001
649,0.055476437239555164,-0.2862426316981306,-0.02873796695773109,-0.18840907458785053,0.03823765754647685,-0.04750933991141347,0.0621119156932159,-0.03301003991642867,0.1778678095781097,-0.036606543952378286,-0.1521666358287909,0.15085057235635618,-0.3811017219789524,0.21078037837442767,0.019179084588322515,-0.2246585526472405,-0.008575853775202048,-0.1880078146568821,0.06256840849128939,-0.0641837495694955,0.07978197588308364,-0.027200285028055923,0.11000926990865373,0.022473138208879036,-0.18868711693948412,0.15430993129210627,-0.37096787370509793,0.1901714607830193,84.6818445,84.74708475
650,0.018132132484457202,-0.25641851275095157,-0.03714693404680512,-0.18342413804533028,-9.269420681138482e-05,-0.04363110068730226,0.11092417332351909,-0.03465241191245225,0.13035281612846994,-0.021879147636037172,-0.1283435206802385,0.1736831267461846,-0.430139352359739,0.13423335551312784,0.021462124559529026,-0.22822919285529908,-0.03151650035296543,-0.17498509477666196,-0.009648407504556878,-0.0565700985951515,0.06939657524270815,-0.028715890982939488,0.21247926402521944,-0.032428191012466454,-0.07728749657219712,0.13602869973011916,-0.4000274234109589,0.15347625201784287,84.812325,84.87756525
