,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
53,188.85882352941175,309.5154639175258,251.14736842105262,446.01234567901236,330.54545454545456,304.5584415584416,501.989010989011,226.14423076923077,278.3644859813084,206.6,350.1089108910891,386.8454545454546,341.6020408163265,326.9120879120879,1.6315873333333333
54,206.3294117647059,312.62886597938143,252.70526315789473,451.320987654321,318.20454545454544,307.1818181818182,539.010989010989,220.68269230769232,282.8130841121495,210.02666666666667,350.4950495049505,371.6363636363636,355.85714285714283,335.4175824175824,1.662372
55,205.09411764705882,288.3814432989691,250.23157894736843,445.4567901234568,324.3181818181818,319.02597402597405,494.45054945054943,232.31730769230768,274.5981308411215,209.98666666666668,347.7722772277228,381.8545454545455,332.59183673469386,322.14285714285717,1.6931566666666666
56,210.89411764705883,311.02061855670104,245.6,428.8888888888889,304.85227272727275,297.5194805194805,502.9120879120879,213.66346153846155,274.1869158878505,208.4,327.1980198019802,368.1,371.4387755102041,292.3296703296703,1.7239413333333333
57,203.4,308.0103092783505,244.94736842105263,445.1111111111111,331.1363636363636,318.2987012987013,488.5934065934066,222.2596153846154,282.8878504672897,204.05333333333334,347.2277227722772,384.06363636363636,333.4591836734694,315.53846153846155,1.754726
58,196.04705882352943,295.0618556701031,232.0842105263158,440.1358024691358,315.28409090909093,286.6363636363636,518.967032967033,224.6346153846154,296.0934579439252,206.92,366.970297029703,383.9727272727273,355.38775510204084,314.05494505494505,1.7855106666666665
59,199.65882352941176,281.5257731958763,220.53684210526316,421.2716049382716,305.60227272727275,295.3376623376623,503.1098901098901,207.16346153846155,295.2056074766355,213.17333333333335,331.61386138613864,395.24545454545455,333.1734693877551,334.56043956043953,1.8162953333333332
60,204.5529411764706,300.78350515463916,254.41052631578947,441.5679012345679,318.4318181818182,312.2597402597403,510.24175824175825,222.68269230769232,288.3457943925234,212.0,359.009900990099,375.55454545454546,353.8775510204082,321.7692307692308,1.8470799999999998
61,208.51764705882354,297.87628865979383,254.69473684210527,439.3333333333333,307.79545454545456,292.45454545454544,495.6043956043956,213.54807692307693,272.31775700934577,210.84,364.44554455445547,391.09090909090907,356.7244897959184,310.9010989010989,1.8778646666666665
62,196.03529411764706,284.7628865979381,245.4842105263158,437.7283950617284,291.4886363636364,318.85714285714283,493.86813186813185,212.09615384615384,262.5233644859813,203.48,362.1782178217822,378.2,351.4591836734694,339.38461538461536,1.9086493333333332
63,204.58823529411765,300.3814432989691,240.83157894736843,424.0246913580247,316.22727272727275,319.1038961038961,496.6703296703297,215.52884615384616,275.13084112149534,226.98666666666668,333.91089108910893,380.54545454545456,339.7142857142857,323.57142857142856,1.9394339999999999
64,198.35294117647058,299.69072164948454,258.61052631578946,427.5679012345679,290.82954545454544,301.61038961038963,484.7692307692308,242.15384615384616,273.3551401869159,209.93333333333334,358.41584158415844,378.06363636363636,348.31632653061223,329.5054945054945,1.9702186666666666
65,187.8235294117647,295.8453608247423,250.77894736842106,421.4938271604938,290.6363636363636,318.38961038961037,493.95604395604397,215.1346153846154,274.0093457943925,210.8,337.18811881188117,378.0181818181818,335.2142857142857,315.57142857142856,2.0010033333333332
66,191.85882352941175,286.88659793814435,241.74736842105264,445.95061728395063,306.72727272727275,285.4415584415584,505.2197802197802,217.5096153846154,274.1588785046729,230.89333333333335,348.7524752475247,391.8636363636364,355.0,326.6373626373626,2.0317879999999997
67,199.47058823529412,288.9484536082474,239.49473684210525,433.2962962962963,303.2613636363636,296.38961038961037,492.83516483516485,219.1346153846154,274.9252336448598,213.09333333333333,349.45544554455444,372.1272727272727,359.2755102040816,312.0989010989011,2.0625726666666666
68,202.94117647058823,292.88659793814435,245.45263157894738,450.9259259259259,312.9318181818182,305.46753246753246,450.02197802197804,215.8846153846154,291.02803738317755,208.69333333333333,346.2475247524753,382.2090909090909,345.3061224489796,313.8021978021978,2.093357333333333
69,204.5529411764706,291.74226804123714,251.43157894736842,440.0987654320988,288.75,309.45454545454544,488.6263736263736,208.69230769230768,279.1869158878505,202.12,321.019801980198,367.22727272727275,322.14285714285717,314.14285714285717,2.124142
70,202.18823529411765,289.5257731958763,234.4842105263158,429.55555555555554,286.0113636363636,312.3766233766234,493.1758241758242,214.0,265.57943925233644,204.94666666666666,338.1485148514852,362.1454545454545,359.8469387755102,321.1758241758242,2.1549266666666664
71,194.48235294117646,302.2886597938144,251.52631578947367,449.679012345679,294.34090909090907,297.64935064935065,493.3626373626374,219.64423076923077,281.77570093457945,217.37333333333333,352.980198019802,368.77272727272725,342.6020408163265,315.97802197802196,2.1857113333333333
72,209.52941176470588,294.54639175257734,241.43157894736842,434.962962962963,289.5681818181818,305.02597402597405,487.1978021978022,229.43269230769232,270.33644859813086,214.38666666666666,337.74257425742576,387.04545454545456,349.6326530612245,303.65934065934067,2.216496
73,204.21176470588236,288.35051546391753,243.61052631578949,434.01234567901236,307.6363636363636,296.8961038961039,493.25274725274727,225.8653846153846,291.2429906542056,206.24,355.4752475247525,375.27272727272725,325.33673469387753,294.84615384615387,2.2472806666666667
74,200.25882352941176,291.44329896907215,242.57894736842104,433.9012345679012,294.95454545454544,312.15584415584414,472.8131868131868,213.20192307692307,292.29906542056074,207.97333333333333,337.45544554455444,369.1,342.765306122449,291.94505494505495,2.278065333333333
75,217.18823529411765,293.4226804123711,233.62105263157895,433.14814814814815,308.0,314.38961038961037,499.9120879120879,220.27884615384616,281.06542056074767,219.17333333333335,353.94059405940595,360.8363636363636,320.6530612244898,304.64835164835165,2.30885
76,207.96470588235294,294.2886597938144,227.13684210526316,454.6296296296296,293.07954545454544,323.76623376623377,476.1208791208791,231.5096153846154,280.0373831775701,208.98666666666668,370.6930693069307,378.8,336.6020408163265,319.24175824175825,2.3396346666666665
77,201.18823529411765,276.55670103092785,228.0421052631579,420.5061728395062,286.3636363636364,322.2987012987013,479.032967032967,220.25,276.7102803738318,203.92,335.81188118811883,388.95454545454544,356.0612244897959,315.7802197802198,2.370419333333333
78,206.63529411764705,288.2680412371134,237.62105263157895,421.08641975308643,300.0113636363636,309.0779220779221,498.74725274725273,219.4903846153846,273.7196261682243,194.85333333333332,337.5049504950495,393.44545454545454,336.1530612244898,299.1758241758242,2.401204
79,204.8235294117647,301.96907216494844,231.68421052631578,435.6296296296296,303.82954545454544,295.8051948051948,504.43956043956047,221.53846153846155,283.2056074766355,219.64,350.2970297029703,374.76363636363635,343.5816326530612,298.2197802197802,2.4319886666666664
80,202.0235294117647,302.9484536082474,247.55789473684212,429.0740740740741,291.59090909090907,318.24675324675326,479.0879120879121,233.42307692307693,273.9626168224299,224.30666666666667,352.1782178217822,366.40909090909093,322.9183673469388,292.2197802197802,2.4627733333333333
81,206.52941176470588,289.11340206185565,253.90526315789472,412.1358024691358,294.625,288.64935064935065,478.1978021978022,222.46153846153845,274.3457943925234,217.89333333333335,337.4752475247525,378.6818181818182,354.8775510204082,304.4945054945055,2.4935579999999997
82,208.42352941176472,283.2061855670103,258.8315789473684,430.65432098765433,290.22727272727275,297.64935064935065,471.97802197802196,217.32692307692307,277.7289719626168,219.14666666666668,342.03960396039605,378.8181818181818,327.98979591836735,291.64835164835165,2.5243426666666666
83,223.9294117647059,295.97938144329896,243.8736842105263,418.77777777777777,294.54545454545456,325.54545454545456,462.14285714285717,228.26923076923077,282.13084112149534,209.90666666666667,338.5049504950495,382.05454545454546,344.05102040816325,298.9230769230769,2.555127333333333
84,211.43529411764706,308.54639175257734,236.8842105263158,440.7654320987654,297.92045454545456,293.09090909090907,470.7142857142857,233.5,296.0841121495327,207.4,356.7920792079208,371.4727272727273,333.01020408163265,303.2087912087912,2.585912
85,228.9764705882353,279.5979381443299,240.96842105263158,451.5432098765432,290.5568181818182,312.8181818181818,463.2637362637363,218.7403846153846,285.4392523364486,211.17333333333335,330.029702970297,391.54545454545456,342.7040816326531,307.7362637362637,2.6166966666666664
86,212.64705882352942,296.41237113402065,236.93684210526317,427.6666666666667,283.60227272727275,289.8181818181818,491.1758241758242,221.66346153846155,275.9906542056075,207.58666666666667,355.2079207920792,391.7181818181818,341.8775510204082,291.54945054945057,2.6474813333333334
87,211.68235294117648,299.9484536082474,247.54736842105262,422.1975308641975,296.1363636363636,278.2987012987013,485.27472527472526,229.04807692307693,295.42056074766356,210.76,341.58415841584156,372.1090909090909,324.6020408163265,302.1978021978022,2.678266
88,221.9294117647059,296.16494845360825,237.6421052631579,421.24691358024694,279.9431818181818,303.9220779220779,479.5274725274725,230.375,288.8878504672897,222.6,334.41584158415844,351.7,327.0,299.42857142857144,2.7090506666666667
