,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,time
64,142.33333333333334,223.1,193.80769230769232,774.1395348837209,995.6153846153846,821.1666666666666,715.258064516129,137.80769230769232,309.4318181818182,483.4736842105263,618.8863636363636,784.9615384615385,394.1333333333333,1.9991466666666666
65,134.12121212121212,214.63333333333333,191.69230769230768,748.5348837209302,1080.673076923077,812.3888888888889,740.0,134.46153846153845,335.6136363636364,464.39473684210526,615.0454545454545,763.8846153846154,370.96666666666664,2.0303833333333334
66,149.6060606060606,217.4,207.76923076923077,768.7674418604652,1018.5961538461538,889.0555555555555,783.2903225806451,140.6153846153846,308.70454545454544,435.7631578947368,644.1590909090909,814.6538461538462,377.4,2.06162
67,141.42424242424244,230.76666666666668,210.69230769230768,713.7209302325581,1048.9807692307693,861.0833333333334,728.0322580645161,139.42307692307693,350.04545454545456,467.6578947368421,635.8863636363636,797.4615384615385,369.46666666666664,2.0928566666666666
68,140.03030303030303,235.1,240.5,777.9302325581396,1007.1730769230769,810.3055555555555,788.1612903225806,161.76923076923077,345.02272727272725,424.94736842105266,641.0454545454545,819.5,373.1666666666667,2.124093333333333
69,142.03030303030303,233.76666666666668,218.84615384615384,732.7441860465116,991.1730769230769,801.1388888888889,773.8709677419355,134.5,333.52272727272725,460.7368421052632,550.6818181818181,850.6538461538462,362.53333333333336,2.1553299999999997
70,145.84848484848484,214.8,198.80769230769232,798.0,1026.0961538461538,879.1388888888889,781.1935483870968,141.53846153846155,332.8636363636364,462.7894736842105,682.4545454545455,853.3846153846154,372.23333333333335,2.1865666666666668
71,123.24242424242425,234.96666666666667,212.03846153846155,773.8604651162791,1000.6346153846154,816.25,836.8387096774194,129.80769230769232,337.25,446.36842105263156,650.2045454545455,789.9230769230769,377.2,2.2178033333333333
72,139.9090909090909,233.66666666666666,213.65384615384616,771.4186046511628,939.8076923076923,837.5833333333334,715.4516129032259,132.3846153846154,330.5,481.36842105263156,610.7954545454545,791.5769230769231,391.56666666666666,2.24904
73,137.75757575757575,228.1,210.42307692307693,810.8604651162791,977.5,865.8333333333334,729.516129032258,144.23076923076923,360.59090909090907,468.42105263157896,639.9772727272727,735.0384615384615,331.76666666666665,2.2802766666666665
74,130.63636363636363,210.1,235.19230769230768,758.7906976744187,948.0769230769231,827.5277777777778,737.0,137.65384615384616,352.95454545454544,481.42105263157896,621.6590909090909,735.2692307692307,379.76666666666665,2.311513333333333
75,142.87878787878788,223.83333333333334,214.46153846153845,729.5813953488372,1006.25,814.75,737.9032258064516,126.03846153846153,371.15909090909093,444.6578947368421,641.5909090909091,829.1538461538462,361.93333333333334,2.34275
76,153.42424242424244,226.36666666666667,216.42307692307693,772.4186046511628,993.8461538461538,808.4166666666666,794.4193548387096,143.23076923076923,359.1818181818182,466.7631578947368,637.7727272727273,701.6538461538462,378.46666666666664,2.3739866666666667
