,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
84,335.7631578947368,450.3018867924528,825.1818181818181,829.8846153846154,253.3913043478261,488.05882352941177,384.42857142857144,344.05263157894734,582.3877551020408,2.611742
85,322.6578947368421,432.49056603773585,784.4848484848485,816.6730769230769,240.2608695652174,523.2647058823529,400.0238095238095,338.07894736842104,563.0816326530612,2.642834166666667
86,314.1578947368421,396.1698113207547,798.530303030303,820.3846153846154,242.15217391304347,471.6470588235294,373.6904761904762,358.0263157894737,595.8163265306123,2.673926333333333
87,348.4736842105263,417.7358490566038,778.6363636363636,785.0576923076923,272.2608695652174,460.47058823529414,376.35714285714283,350.92105263157896,539.8367346938776,2.7050185
88,312.2105263157895,418.2830188679245,755.6666666666666,854.9807692307693,220.8913043478261,476.7352941176471,406.73809523809524,350.36842105263156,567.8775510204082,2.736110666666667
89,333.8157894736842,425.20754716981133,738.2272727272727,836.2307692307693,213.15217391304347,437.52941176470586,402.04761904761904,337.94736842105266,544.6122448979592,2.767202833333333
90,329.55263157894734,428.20754716981133,734.9545454545455,794.4807692307693,227.7391304347826,424.7352941176471,429.0,359.39473684210526,508.38775510204084,2.798295
91,324.39473684210526,443.1698113207547,780.2424242424242,846.7115384615385,224.82608695652175,454.7352941176471,403.54761904761904,353.6578947368421,551.265306122449,2.829387166666667
92,321.13157894736844,408.3207547169811,771.3787878787879,825.1538461538462,210.67391304347825,450.44117647058823,378.1904761904762,350.63157894736844,553.8571428571429,2.8604793333333336
93,331.57894736842104,406.45283018867923,748.5151515151515,756.0769230769231,212.34782608695653,410.44117647058823,377.92857142857144,339.10526315789474,569.9183673469388,2.8915715
94,311.57894736842104,455.1132075471698,765.4848484848485,824.2692307692307,211.6304347826087,425.61764705882354,392.5,358.92105263157896,574.795918367347,2.9226636666666668
95,308.2631578947368,435.07547169811323,735.1212121212121,791.7307692307693,194.2608695652174,420.7352941176471,382.73809523809524,351.60526315789474,523.8571428571429,2.9537558333333336
96,282.8421052631579,399.188679245283,723.4090909090909,775.2884615384615,189.7826086956522,416.5882352941176,405.1666666666667,334.1578947368421,538.265306122449,2.984848
