,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
46,710.6739130434783,857.2702702702703,1449.0892857142858,1143.7045454545455,1310.0212765957447,1627.9772727272727,333.56666666666666,800.5,607.6388888888889,998.258064516129,1185.219512195122,1475.132075471698,1.4253636666666667
47,719.5217391304348,949.7297297297297,1400.5535714285713,1136.0,1335.468085106383,1611.4545454545455,337.06666666666666,851.7,593.4722222222222,979.6451612903226,1173.2926829268292,1440.867924528302,1.4563498333333333
48,778.6739130434783,817.7027027027027,1417.1785714285713,1165.590909090909,1304.1063829787233,1574.3636363636363,356.3,827.1333333333333,584.5833333333334,864.3225806451613,1195.9268292682927,1443.1132075471698,1.487336
49,702.2608695652174,854.2432432432432,1471.5,1140.4318181818182,1310.468085106383,1600.659090909091,358.5,806.8666666666667,628.9166666666666,892.258064516129,1253.6341463414635,1448.9811320754718,1.5183221666666666
50,769.4347826086956,915.027027027027,1410.607142857143,1169.090909090909,1319.8936170212767,1504.409090909091,347.8,818.6666666666666,628.5555555555555,950.4516129032259,1252.560975609756,1401.301886792453,1.5493083333333333
51,732.6739130434783,916.081081081081,1412.642857142857,1101.5454545454545,1321.872340425532,1681.7272727272727,384.3,838.1666666666666,661.7777777777778,899.6451612903226,1282.9756097560976,1436.5471698113208,1.5802945
52,797.2173913043479,836.8648648648649,1452.6964285714287,1111.8863636363637,1350.9787234042553,1643.8863636363637,325.8,807.7,633.3611111111111,906.1290322580645,1210.5365853658536,1429.188679245283,1.6112806666666666
53,756.1304347826087,842.6756756756756,1441.0892857142858,1127.9545454545455,1351.7446808510638,1572.5,366.8,835.2333333333333,667.4166666666666,975.516129032258,1185.2682926829268,1395.188679245283,1.6422668333333332
54,724.195652173913,965.3243243243244,1400.9107142857142,1103.3863636363637,1319.2978723404256,1571.5681818181818,338.03333333333336,843.3666666666667,626.7222222222222,940.3548387096774,1155.0,1367.754716981132,1.6732529999999999
55,743.6304347826087,854.0,1404.2857142857142,1124.9772727272727,1274.6382978723404,1592.340909090909,363.46666666666664,811.8,683.6944444444445,907.4193548387096,1157.9024390243903,1391.622641509434,1.7042391666666665
56,785.9130434782609,862.8378378378378,1374.9642857142858,1114.7727272727273,1323.468085106383,1652.9545454545455,343.76666666666665,824.5333333333333,654.4722222222222,930.5806451612904,1169.780487804878,1483.377358490566,1.7352253333333332
57,747.695652173913,888.5405405405405,1462.625,1119.8863636363637,1301.1702127659576,1603.4318181818182,329.46666666666664,859.1666666666666,600.6666666666666,978.483870967742,1160.219512195122,1412.5849056603774,1.7662114999999998
