,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,time
80,946.8947368421053,1230.576923076923,924.425,1043.671875,1056.4,342.5438596491228,1117.6046511627908,1574.9,1180.4571428571428,2.46372
81,996.1315789473684,1213.2692307692307,866.35,1051.140625,999.6857142857143,308.94736842105266,1202.2093023255813,1588.15,1168.057142857143,2.4945165
82,951.8684210526316,1248.2692307692307,1012.05,1095.875,1062.857142857143,330.5263157894737,1236.2790697674418,1635.775,1193.2857142857142,2.525313
83,1042.6842105263158,1227.8076923076924,991.45,1064.90625,1009.0285714285715,320.8421052631579,1219.7209302325582,1604.825,1220.0857142857142,2.5561095000000003
84,948.0263157894736,1285.576923076923,876.125,1104.515625,970.0857142857143,306.3157894736842,1223.8372093023256,1526.075,1111.3142857142857,2.586906
85,1039.2368421052631,1259.4615384615386,922.175,1055.984375,984.4857142857143,305.17543859649123,1133.0,1506.6,1185.8285714285714,2.6177025
86,1064.8684210526317,1180.8461538461538,921.725,1067.046875,984.8571428571429,305.0175438596491,1165.6744186046512,1520.375,1149.057142857143,2.648499
87,1011.078947368421,1235.1538461538462,912.575,1076.78125,894.6571428571428,325.719298245614,1213.3953488372092,1526.375,1198.3428571428572,2.6792955000000003
88,1056.5,1208.1538461538462,945.825,1114.984375,957.2285714285714,326.140350877193,1265.3023255813953,1591.575,1254.5428571428572,2.710092
89,1037.921052631579,1316.5384615384614,971.725,1060.125,954.7714285714286,303.17543859649123,1229.2325581395348,1548.05,1243.4,2.7408885
90,1061.421052631579,1215.8076923076924,964.325,1060.28125,967.0571428571428,319.57894736842104,1224.6511627906978,1434.5,1193.5142857142857,2.771685
91,1062.2894736842106,1207.5384615384614,896.3,1031.65625,953.2,300.42105263157896,1200.4651162790697,1551.15,1167.0857142857142,2.8024815000000003
92,1069.7368421052631,1275.1923076923076,948.875,988.265625,935.5142857142857,308.5964912280702,1242.2093023255813,1463.55,1188.6285714285714,2.833278
93,990.5263157894736,1271.8076923076924,924.575,1104.375,997.6571428571428,294.3859649122807,1249.0,1553.9,1192.2285714285715,2.8640745
94,1016.6578947368421,1274.6538461538462,913.75,1058.421875,930.4857142857143,312.2456140350877,1194.3488372093022,1610.45,1175.6285714285714,2.894871
95,990.5263157894736,1273.923076923077,944.95,1113.34375,936.6,294.3157894736842,1197.3953488372092,1556.3,1207.6285714285714,2.9256675000000003
96,1016.0526315789474,1370.7307692307693,952.175,1066.015625,921.4285714285714,303.7368421052632,1208.4186046511627,1547.25,1149.8857142857144,2.956464
97,1005.421052631579,1198.8846153846155,904.225,1102.3125,899.7428571428571,320.05263157894734,1236.860465116279,1485.475,1202.0285714285715,2.9872605
98,991.2368421052631,1196.923076923077,941.575,1088.921875,858.4,287.2105263157895,1228.2093023255813,1552.8,1205.9714285714285,3.018057
99,1025.5526315789473,1322.5,902.1,1060.28125,928.0,297.10526315789474,1226.2093023255813,1517.45,1149.5428571428572,3.0488535
100,1007.0,1251.5,940.35,1054.03125,850.8571428571429,301.9298245614035,1248.8837209302326,1508.55,1162.7714285714285,3.07965
101,1011.0,1287.8076923076924,998.475,1091.6875,894.8,298.10526315789474,1258.3488372093022,1515.0,1209.5714285714287,3.1104465
102,1027.578947368421,1331.1923076923076,914.8,1071.125,845.7142857142857,307.42105263157896,1240.8139534883721,1536.775,1147.7142857142858,3.1412430000000002
103,1058.2631578947369,1272.5,976.875,1075.015625,834.8571428571429,314.50877192982455,1275.7674418604652,1606.9,1197.8,3.1720395
104,1009.1578947368421,1201.9615384615386,983.45,1030.15625,813.4571428571429,299.49122807017545,1232.4883720930231,1581.875,1208.6,3.202836
105,1074.7894736842106,1351.1538461538462,955.85,1108.71875,784.4857142857143,309.0,1322.4883720930231,1622.3,1203.0285714285715,3.2336325
106,1034.9473684210527,1321.7307692307693,930.05,1072.1875,787.2285714285714,313.8070175438597,1333.2093023255813,1516.175,1231.942857142857,3.2644290000000002
107,1020.0526315789474,1292.5384615384614,909.725,1088.359375,793.2857142857143,282.42105263157896,1264.860465116279,1599.75,1147.3142857142857,3.2952255
108,1042.7368421052631,1277.8461538461538,955.65,1059.90625,759.7428571428571,284.719298245614,1308.1627906976744,1571.75,1268.2285714285715,3.326022
109,1058.7631578947369,1241.8076923076924,957.175,1078.359375,744.8285714285714,299.36842105263156,1272.906976744186,1518.375,1252.7714285714285,3.3568185
110,1043.7105263157894,1357.3846153846155,881.4,1026.640625,710.6571428571428,297.82456140350877,1280.0232558139535,1498.375,1221.4857142857143,3.3876150000000003
111,1057.4473684210527,1267.0384615384614,944.95,1089.4375,661.0571428571428,296.12280701754383,1274.139534883721,1522.025,1255.142857142857,3.4184115
112,1060.3157894736842,1293.4615384615386,967.0,1075.4375,670.3428571428572,301.2280701754386,1221.0,1548.15,1235.4,3.449208
113,1049.078947368421,1247.2692307692307,971.0,1062.515625,674.8,299.3157894736842,1250.9767441860465,1533.925,1213.142857142857,3.4800045
114,1049.8157894736842,1224.8076923076924,977.7,1059.875,717.1714285714286,273.7894736842105,1330.6279069767443,1602.1,1207.942857142857,3.5108010000000003
115,1031.1842105263158,1316.2307692307693,938.125,1050.453125,650.7714285714286,307.140350877193,1232.4651162790697,1571.925,1192.4,3.5415975
116,1075.1052631578948,1265.8461538461538,1007.6,1034.546875,607.8285714285714,286.43859649122805,1287.8837209302326,1542.025,1234.4285714285713,3.572394
117,1085.2105263157894,1326.6538461538462,887.9,1071.0,573.4,318.49122807017545,1339.4651162790697,1589.65,1212.6285714285714,3.6031905
118,1100.0526315789473,1299.4615384615386,966.25,1014.5,559.6571428571428,344.140350877193,1248.2325581395348,1562.825,1203.857142857143,3.6339870000000003
119,1041.3157894736842,1300.1923076923076,1034.225,1011.90625,603.1428571428571,300.7543859649123,1265.4651162790697,1539.175,1192.142857142857,3.6647835
120,1013.5,1190.5384615384614,981.275,1021.640625,558.3142857142857,308.4736842105263,1280.4883720930231,1598.6,1225.7714285714285,3.69558
121,1038.8947368421052,1258.076923076923,972.525,970.46875,565.9714285714285,301.2456140350877,1293.4651162790697,1537.15,1215.7142857142858,3.7263765
122,1016.1842105263158,1239.0384615384614,943.925,1007.765625,554.4,291.859649122807,1308.2093023255813,1557.925,1190.6571428571428,3.7571730000000003
123,1103.5,1191.6923076923076,1014.45,1005.109375,506.8,305.0175438596491,1340.3488372093022,1520.95,1239.4285714285713,3.7879695
124,1074.3157894736842,1233.0,971.75,975.203125,522.9142857142857,300.64912280701753,1264.1162790697674,1529.375,1199.7714285714285,3.818766
125,1055.9736842105262,1228.3076923076924,942.025,1015.15625,507.77142857142854,301.2105263157895,1279.2558139534883,1507.6,1204.2571428571428,3.8495625
126,975.0526315789474,1302.4615384615386,978.35,1026.265625,466.3142857142857,311.43859649122805,1258.2558139534883,1522.7,1254.7428571428572,3.8803590000000003
