,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
44,304.0,302.20512820512823,977.9387755102041,295.5609756097561,358.25714285714287,316.04761904761904,251.35,439.2926829268293,1625.72131147541,691.3518518518518,287.23809523809524,226.92857142857142,229.45454545454547,211.9795918367347,1.3529853333333333
45,274.15384615384613,327.20512820512823,985.4285714285714,300.780487804878,327.1714285714286,306.14285714285717,224.6,492.1707317073171,1690.688524590164,709.2962962962963,288.58730158730157,230.45238095238096,229.22727272727272,224.9795918367347,1.383735
46,311.5128205128205,320.8205128205128,1046.8775510204082,310.5121951219512,325.8,298.3333333333333,236.2,442.4146341463415,1698.4754098360656,748.5,285.3333333333333,253.54761904761904,217.86363636363637,228.9795918367347,1.4144846666666666
47,285.6923076923077,334.3076923076923,1061.6326530612246,366.0487804878049,349.8285714285714,292.42857142857144,275.3,449.3170731707317,1706.8852459016393,766.3703703703703,264.8888888888889,239.85714285714286,221.6590909090909,202.18367346938774,1.4452343333333333
48,297.46153846153845,338.3333333333333,1120.3061224489795,397.0,347.1142857142857,320.8095238095238,240.75,467.0487804878049,1657.5081967213114,767.3888888888889,291.06349206349205,228.4047619047619,222.38636363636363,212.6326530612245,1.475984
49,287.2564102564103,333.8974358974359,1099.4285714285713,425.0731707317073,336.37142857142857,300.42857142857144,231.675,457.7073170731707,1688.2459016393443,815.1666666666666,303.2857142857143,219.95238095238096,223.5,211.18367346938774,1.5067336666666666
50,285.12820512820514,350.1794871794872,1148.265306122449,486.9756097560976,341.6,320.85714285714283,229.65,470.4878048780488,1705.8852459016393,776.7592592592592,315.41269841269843,260.85714285714283,215.9318181818182,208.42857142857142,1.5374833333333333
51,314.02564102564105,328.94871794871796,1227.3877551020407,515.0975609756098,344.3142857142857,336.6666666666667,242.45,415.6585365853659,1726.7704918032787,831.5925925925926,309.3809523809524,226.42857142857142,212.25,209.10204081632654,1.568233
52,298.8205128205128,338.1025641025641,1229.938775510204,547.2926829268292,339.62857142857143,311.8095238095238,231.45,452.219512195122,1674.9016393442623,818.3148148148148,343.76190476190476,262.76190476190476,221.4318181818182,216.14285714285714,1.5989826666666667
53,296.7435897435897,337.3076923076923,1148.204081632653,616.2926829268292,331.2857142857143,333.14285714285717,253.8,427.4146341463415,1703.4098360655737,795.3333333333334,355.968253968254,225.14285714285714,225.25,221.24489795918367,1.6297323333333333
54,276.2564102564103,344.35897435897436,1242.591836734694,588.219512195122,341.85714285714283,288.23809523809524,258.65,444.9512195121951,1703.704918032787,836.3518518518518,422.4920634920635,237.73809523809524,207.8181818181818,219.51020408163265,1.6604819999999998
55,289.5128205128205,326.12820512820514,1253.5510204081634,647.560975609756,343.74285714285713,317.7142857142857,229.975,450.5853658536585,1667.655737704918,817.7592592592592,537.4920634920635,228.0952380952381,236.25,215.46938775510205,1.6912316666666665
56,287.9230769230769,357.8205128205128,1305.3265306122448,694.0243902439024,343.8857142857143,324.7142857142857,244.7,399.7560975609756,1701.9344262295083,835.8888888888889,646.8571428571429,257.5,217.4318181818182,208.0204081632653,1.7219813333333331
57,285.4871794871795,319.4871794871795,1313.8775510204082,727.6829268292682,344.77142857142854,289.42857142857144,230.975,460.5853658536585,1681.0,860.0925925925926,703.7301587301587,225.28571428571428,197.27272727272728,227.3265306122449,1.7527309999999998
58,264.64102564102564,317.02564102564105,1277.0204081632653,759.7317073170732,318.65714285714284,310.04761904761904,243.725,397.6585365853659,1668.4262295081967,894.9444444444445,818.6507936507936,241.23809523809524,210.3409090909091,208.69387755102042,1.7834806666666665
59,311.6666666666667,317.43589743589746,1346.2244897959183,831.439024390244,354.51428571428573,331.5238095238095,250.45,447.6341463414634,1636.7540983606557,843.5185185185185,886.3174603174604,239.3095238095238,213.77272727272728,212.6734693877551,1.8142303333333332
60,293.28205128205127,362.3076923076923,1255.2448979591836,830.0731707317074,291.1142857142857,309.1904761904762,231.75,440.2682926829268,1656.704918032787,873.4444444444445,946.5238095238095,246.85714285714286,237.88636363636363,219.40816326530611,1.8449799999999998
61,283.6666666666667,314.53846153846155,1328.591836734694,843.9512195121952,339.9714285714286,257.9047619047619,251.65,471.8536585365854,1636.2622950819673,879.7962962962963,974.6031746031746,225.5,205.54545454545453,206.08163265306123,1.8757296666666665
62,292.1025641025641,323.56410256410254,1295.8979591836735,845.609756097561,352.3142857142857,322.9047619047619,251.375,427.6585365853659,1637.1639344262296,820.5185185185185,1052.6190476190477,249.33333333333334,228.45454545454547,222.73469387755102,1.9064793333333332
63,291.28205128205127,300.56410256410254,1316.4285714285713,899.8536585365854,349.1714285714286,345.8095238095238,226.925,445.5609756097561,1633.8360655737704,834.8888888888889,1133.047619047619,256.04761904761904,233.3181818181818,220.89795918367346,1.9372289999999999
64,286.7692307692308,302.8205128205128,1279.6938775510205,869.5365853658536,348.0,288.95238095238096,261.075,428.6341463414634,1657.0,892.8518518518518,1207.8253968253969,265.9047619047619,231.1590909090909,218.18367346938774,1.9679786666666665
65,273.7435897435897,316.6923076923077,1296.6938775510205,951.2439024390244,357.57142857142856,293.1904761904762,257.05,446.1463414634146,1625.5081967213114,872.1111111111111,1212.7777777777778,256.2857142857143,237.1590909090909,212.9387755102041,1.9987283333333332
66,281.12820512820514,352.28205128205127,1295.061224489796,919.9024390243902,370.22857142857146,312.4761904761905,245.775,421.1707317073171,1644.1475409836066,878.4629629629629,1235.015873015873,237.21428571428572,242.9318181818182,217.0,2.0294779999999997
67,269.79487179487177,333.61538461538464,1248.6938775510205,956.0,333.8285714285714,319.23809523809524,233.875,436.4390243902439,1639.1803278688524,809.4444444444445,1238.1746031746031,232.33333333333334,226.77272727272728,202.46938775510205,2.0602276666666666
68,303.9230769230769,312.4102564102564,1238.7142857142858,897.7317073170732,362.6857142857143,315.8095238095238,263.675,461.9268292682927,1606.5573770491803,860.1481481481482,1288.4603174603174,238.64285714285714,213.6818181818182,231.6530612244898,2.090977333333333
69,282.3333333333333,328.56410256410254,1290.0204081632653,946.2439024390244,356.0285714285714,297.6666666666667,240.375,424.4390243902439,1578.9180327868853,859.5555555555555,1299.8095238095239,271.6666666666667,213.3409090909091,202.55102040816325,2.121727
70,275.02564102564105,336.0769230769231,1226.7755102040817,952.170731707317,337.6,271.8095238095238,229.45,466.2682926829268,1604.311475409836,853.2962962962963,1301.063492063492,306.1190476190476,238.38636363636363,222.91836734693877,2.1524766666666664
71,284.6923076923077,320.12820512820514,1240.204081632653,955.2439024390244,345.34285714285716,303.04761904761904,232.95,410.9512195121951,1641.2131147540983,790.5,1276.4761904761904,368.07142857142856,206.52272727272728,210.46938775510205,2.1832263333333333
72,270.6666666666667,324.5128205128205,1192.0408163265306,945.0487804878048,356.37142857142857,316.23809523809524,242.6,445.780487804878,1613.950819672131,827.1666666666666,1266.936507936508,430.1666666666667,220.79545454545453,196.46938775510205,2.2139759999999997
73,271.94871794871796,324.79487179487177,1178.8163265306123,965.6341463414634,346.0571428571429,302.3333333333333,256.55,431.2926829268293,1564.5245901639344,911.7222222222222,1323.7619047619048,478.57142857142856,214.04545454545453,219.48979591836735,2.2447256666666666
74,270.0,334.4102564102564,1190.8163265306123,971.2926829268292,331.7142857142857,325.0952380952381,262.7,419.1707317073171,1583.8196721311476,805.7962962962963,1255.126984126984,587.0238095238095,233.8409090909091,215.48979591836735,2.275475333333333
75,298.8974358974359,308.2307692307692,1098.9795918367347,924.6585365853658,337.85714285714283,334.4761904761905,215.075,424.9756097560976,1581.7540983606557,870.2037037037037,1336.2698412698412,642.7857142857143,218.5909090909091,219.22448979591837,2.306225
76,282.20512820512823,320.6923076923077,1146.530612244898,963.3658536585366,318.62857142857143,297.3809523809524,246.075,413.0,1614.967213114754,814.2592592592592,1352.5238095238096,685.3809523809524,232.75,207.48979591836735,2.3369746666666664
