,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,nSyb_A4R,nSyb_A5R,nSyb_A6R,nSyb_A7R,time
70,819.0454545454545,1104.15503875969,1347.7952755905512,959.7941176470588,1843.2641025641026,1760.1457858769932,1527.9949109414758,1082.8155339805826,7.061618975903614
71,786.3272727272728,1082.1317829457364,1365.2125984251968,950.9509803921569,1807.2948717948718,1774.2346241457858,1535.7277353689567,1065.8899676375404,7.162499246987952
72,790.209090909091,1033.1937984496124,1344.4094488188975,961.6960784313726,1823.1102564102564,1769.366742596811,1532.8778625954199,1079.368932038835,7.2633795180722895
73,777.4272727272727,990.7519379844962,1323.3464566929133,956.8725490196078,1837.8307692307692,1757.9020501138953,1518.2239185750636,1067.294498381877,7.364259789156627
74,798.6818181818181,1015.1472868217054,1334.1889763779527,929.7647058823529,1812.3435897435897,1780.7129840546697,1543.3104325699746,1079.7443365695792,7.465140060240964
75,820.4,1033.1705426356589,1323.4251968503936,909.2156862745098,1852.6846153846154,1763.0660592255126,1534.5725190839694,1078.7540453074434,7.566020331325301
76,812.1454545454545,1030.5271317829458,1324.1417322834645,926.8529411764706,1852.1897435897436,1787.2118451025058,1516.328244274809,1093.6181229773463,7.666900602409639
77,796.8181818181819,995.8217054263566,1274.3700787401574,939.1960784313726,1844.574358974359,1761.617312072893,1535.0712468193385,1080.2297734627832,7.767780873493976
78,821.0454545454545,1005.8294573643411,1251.5275590551182,923.6764705882352,1870.0102564102565,1769.49430523918,1549.1017811704835,1071.4239482200646,7.868661144578313
79,843.9363636363636,991.7441860465116,1216.6220472440946,927.0294117647059,1856.9871794871794,1757.243735763098,1523.3536895674301,1061.0809061488674,7.9695414156626505
80,892.2181818181818,1029.3100775193798,1215.9527559055118,949.5980392156863,1861.7102564102563,1818.626423690205,1551.8117048346055,1084.6990291262136,8.070421686746988
81,939.4818181818182,1026.1007751937984,1188.275590551181,904.3627450980392,1856.9205128205128,1803.9020501138953,1534.0636132315522,1084.9967637540453,8.171301957831325
82,1015.7,1047.4341085271317,1131.8661417322835,924.3039215686274,1850.0794871794872,1778.3416856492026,1553.2315521628498,1060.9126213592233,8.272182228915662
83,1104.2727272727273,1026.046511627907,1084.4566929133857,918.4313725490196,1856.8128205128205,1812.6127562642369,1539.8396946564885,1082.7216828478965,8.3730625
84,1112.209090909091,1027.6976744186047,1031.244094488189,908.0392156862745,1851.925641025641,1790.24145785877,1533.5750636132316,1069.388349514563,8.473942771084337
85,1175.5,1033.7441860465117,1006.7874015748032,912.7549019607843,1847.5564102564103,1792.642369020501,1538.8600508905852,1076.2038834951456,8.574823042168674
86,1219.918181818182,1043.5736434108528,1005.5905511811023,894.1078431372549,1829.7589743589745,1786.3371298405466,1547.9287531806615,1073.9741100323624,8.675703313253011
87,1243.3,1058.6511627906978,958.5590551181102,893.3823529411765,1840.9,1800.8473804100229,1541.6539440203562,1062.472491909385,8.776583584337349
88,1269.0363636363636,1082.3953488372092,955.8897637795276,822.1764705882352,1876.0179487179487,1810.3485193621868,1531.5063613231553,1064.663430420712,8.877463855421686
89,1246.9727272727273,1081.8682170542636,969.7244094488188,806.4019607843137,1845.3820512820512,1815.2801822323463,1538.3918575063612,1081.1326860841425,8.978344126506023
90,1314.9,1070.9457364341085,955.1732283464567,807.0980392156863,1829.1410256410256,1796.8564920273348,1554.788804071247,1059.893203883495,9.079224397590362
91,1340.7454545454545,1085.1162790697674,950.7716535433071,799.2843137254902,1837.3128205128205,1806.4487471526195,1531.1526717557251,1066.074433656958,9.1801046686747
92,1338.0272727272727,1120.7209302325582,947.992125984252,791.6960784313726,1854.4205128205128,1820.3302961275626,1554.910941475827,1061.1132686084143,9.280984939759037
93,1341.2,1201.046511627907,976.1023622047244,761.6372549019608,1827.3641025641025,1796.630979498861,1544.3969465648854,1080.7540453074434,9.381865210843374
94,1343.6363636363637,1291.3953488372092,966.9448818897638,713.7843137254902,1823.725641025641,1820.2072892938497,1558.4020356234096,1064.3139158576053,9.482745481927711
95,1365.3454545454545,1411.984496124031,964.5354330708661,667.5980392156863,1814.8410256410257,1797.1138952164008,1568.3664122137404,1082.8511326860842,9.583625753012049
96,1302.009090909091,1451.6434108527133,997.1653543307086,678.6764705882352,1831.2076923076922,1825.375854214123,1577.8651399491093,1079.57928802589,9.684506024096386
97,1333.1545454545455,1542.4108527131782,1016.3307086614174,657.9411764705883,1816.3128205128205,1800.5763097949887,1567.4071246819337,1071.7216828478965,9.785386295180723
98,1329.6909090909091,1605.3488372093022,1017.0314960629921,641.4803921568628,1824.6025641025642,1809.8564920273348,1566.8066157760813,1082.673139158576,9.88626656626506
99,1323.6363636363637,1645.077519379845,1065.8425196850394,647.8823529411765,1798.1820512820514,1814.5717539863326,1569.6106870229007,1062.1715210355987,9.987146837349398
100,1337.5727272727272,1733.8139534883721,1106.8267716535433,658.8235294117648,1797.1384615384616,1793.7334851936218,1587.4223918575065,1085.8478964401295,10.088027108433735
101,1276.6454545454546,1730.108527131783,1184.4409448818897,655.0490196078431,1790.946153846154,1800.6651480637813,1579.9236641221373,1099.7249190938512,10.188907379518072
102,1295.7363636363636,1719.1472868217054,1255.4566929133857,684.0686274509804,1814.6153846153845,1793.3280182232347,1561.1781170483462,1088.9741100323624,10.28978765060241
103,1306.5272727272727,1797.2325581395348,1324.6377952755906,656.8823529411765,1806.3128205128205,1792.7904328018224,1564.1857506361323,1077.4919093851133,10.390667921686747
104,1251.8727272727272,1754.0387596899225,1360.755905511811,664.343137254902,1812.3615384615384,1789.382687927107,1573.0229007633588,1079.4271844660195,10.491548192771084
105,1274.3545454545454,1814.2945736434108,1404.1338582677165,680.7745098039215,1791.0846153846153,1790.6287015945331,1573.5165394402036,1100.2135922330096,10.592428463855422
106,1244.3181818181818,1743.2015503875969,1445.236220472441,689.3137254901961,1809.7333333333333,1797.74715261959,1589.58524173028,1099.9611650485438,10.693308734939759
107,1258.6818181818182,1789.7906976744187,1489.984251968504,718.7549019607843,1803.802564102564,1766.5489749430524,1584.9160305343512,1088.9223300970873,10.794189006024096
108,1249.3545454545454,1718.2945736434108,1479.6062992125985,756.8921568627451,1780.7358974358974,1763.5671981776766,1583.7760814249364,1087.5631067961165,10.895069277108433
